SN,Name of Car,Brand,Production Year,Old Price,New Price,Color,Type
297,2019 Nissan Leaf,Nissan,2019," 39,955 ","41,553",Gray,Hybrid/Electric
298,2020 Toyota Camry,Toyota,2020," 36,500 ","37,960",White,Hybrid/Electric
299,2022 Jeep Grand Cherokee,Jeep,2022," 92,595 ","96,299",White,Hybrid/Electric
300,2022 Chrysler Pacifica,Chrysler,2022," 61,741 ","64,211",White,Hybrid/Electric
301,2022 Toyota RAV4,Toyota,2022," 34,945 ","36,343",03T3 RUBY FLARE PEARL,Hybrid/Electric
302,2022 Toyota RAV4,Toyota,2022," 34,690 ","36,078",01G3 MAGNETIC GREY METALLIC,Hybrid/Electric
303,2022 Kia Sorento,Kia,2022," 57,980 ","60,299",Blue,Hybrid/Electric
304,2022 Ford F-150,Ford,2022," 84,539 ","87,921",Iconic Silver Metallic,Pickup Truck
305,2022 Ford F-150,Ford,2022," 83,939 ","87,297",Oxford White,Pickup Truck
306,2022 Ford Ranger,Ford,2022," 47,914 ","49,831",Oxford White,Pickup Truck
307,2018 RAM 1500,RAM,2018," 43,488 ","45,228",White,Pickup Truck
308,2022 Jeep Gladiator,Jeep,2022," 73,794 ","76,746",STING-GRAY CLEAR COAT,Pickup Truck
309,2022 RAM 1500,RAM,2022," 68,100 ","70,824",Diamond Black Crystal Pearl,Pickup Truck
310,2022 Chevrolet Colorado,Chevrolet,2022," 39,161 ","40,727",SUMMIT WHITE,Pickup Truck
311,2016 RAM 2500,RAM,2016," 45,800 ","47,632",Grey,Pickup Truck
312,2022 Toyota Tundra,Toyota,2022," 68,888 ","71,644",Black,Pickup Truck
313,2019 RAM 1500,RAM,2019," 52,990 ","55,110",Black,Pickup Truck
314,2021 RAM 1500,RAM,2021," 46,888 ","48,764",Grey,Pickup Truck
315,2019 RAM 1500,RAM,2019," 44,888 ","46,684",Red,Pickup Truck
316,2022 Chevrolet Silverado 1500,Chevrolet,2022," 56,677 ","58,944",Blue,Pickup Truck
317,2022 GMC Sierra 2500,GMC,2022," 79,947 ","83,145",White,Pickup Truck
318,2022 GMC Sierra 1500,GMC,2022," 57,022 ","59,303",White,Pickup Truck
319,2022 GMC Sierra 2500,GMC,2022," 79,379 ","82,554",White,Pickup Truck
320,2022 Chevrolet Silverado 1500,Chevrolet,2022," 57,319 ","59,612",White,Pickup Truck
321,2019 RAM 1500,RAM,2019," 55,950 ","58,188",White,Pickup Truck
322,2022 Ford F-150,Ford,2022," 97,375 ","101,270",White,Pickup Truck
323,2022 Ford F-150,Ford,2022," 79,535 ","82,716",Black,Pickup Truck
324,2022 Ford Ranger,Ford,2022," 54,300 ","56,472",White,Pickup Truck
325,2022 Ford F-150,Ford,2022," 73,150 ","76,076",Black,Pickup Truck
326,2022 Ford F-150,Ford,2022," 74,560 ","77,542",White,Pickup Truck
327,2017 Mazda CX-5,Mazda,2017," 27,995 ","29,115",Black,Pickup Truck
328,2016 GMC Canyon,GMC,2016," 34,800 ","36,192",Brown,Pickup Truck
329,2022 Honda Ridgeline,Honda,2022," 58,250 ","60,580",Grey,Pickup Truck
330,2022 GMC Sierra 1500,GMC,2022," 68,412 ","71,148",Blue,Pickup Truck
331,2022 GMC Sierra 1500,GMC,2022," 66,982 ","69,661",Black,Pickup Truck
332,2022 Chevrolet Silverado 1500,Chevrolet,2022," 60,602 ","63,026",White,Pickup Truck
333,2022 Chevrolet Silverado 1500,Chevrolet,2022," 59,767 ","62,158",Sport Red,Pickup Truck
334,2019 Ford F-350,Ford,2019," 76,997 ","80,077",,Pickup Truck
335,2022 Chevrolet Silverado 1500,Chevrolet,2022," 68,028 ","70,749",,Pickup Truck
336,2017 Ford F-150,Ford,2017," 49,800 ","51,792",SHADOW BLACK,Pickup Truck
337,2019 GMC Sierra 1500,GMC,2019," 61,495 ","63,955",Grey,Pickup Truck
338,2018 Ford F-150,Ford,2018," 28,900 ","30,056",Black,Pickup Truck
339,1978 Chevrolet Silverado 1500,Chevrolet,1978," 34,995 ","36,395",Brown,Pickup Truck
340,2017 Chevrolet Colorado,Chevrolet,2017," 28,995 ","30,155",White,Pickup Truck
341,2021 Ford F-150,Ford,2021," 56,980 ","59,259",Red,Pickup Truck
342,2019 Ford Ranger,Ford,2019," 33,980 ","35,339",Gray,Pickup Truck
343,2023 Chevrolet Silverado 3500HD,Chevrolet,2023," 105,563 ","109,786",Black,Pickup Truck
344,2017 GMC Sierra 1500,GMC,2017," 40,998 ","42,638",White,Pickup Truck
345,2019 Chevrolet Colorado,Chevrolet,2019," 48,995 ","50,955",Crush,Pickup Truck
346,2022 RAM 2500,RAM,2022," 109,599 ","113,983",Diamond Black Crystal Pearlcoat,Pickup Truck
347,2021 GMC Sierra 1500,GMC,2021," 82,888 ","86,204",Black,Pickup Truck
348,2017 RAM 1500,RAM,2017," 35,995 ","37,435",Black,Pickup Truck
349,2022 Chevrolet Silverado 1500,Chevrolet,2022," 53,643 ","55,789",Black,Pickup Truck
350,2022 Chevrolet Silverado 3500HD,Chevrolet,2022," 100,298 ","104,310",Northsky Blue Metallic,Pickup Truck
351,2022 Ford F-150,Ford,2022," 97,629 ","101,534",Antimatter Blue Metallic,Pickup Truck
352,2022 Ford F-150,Ford,2022," 83,739 ","87,089",Atlas Blue Metallic,Pickup Truck
353,2022 Ford F-150,Ford,2022," 84,539 ","87,921",Iconic Silver Metallic,Pickup Truck
354,2022 Ford F-150,Ford,2022," 83,939 ","87,297",Oxford White,Pickup Truck
355,2022 Ford Ranger,Ford,2022," 47,914 ","49,831",Oxford White,Pickup Truck
356,2018 RAM 1500,RAM,2018," 43,488 ","45,228",White,Pickup Truck
357,2022 Jeep Gladiator,Jeep,2022," 73,794 ","76,746",STING-GRAY CLEAR COAT,Pickup Truck
358,2022 RAM 1500,RAM,2022," 68,100 ","70,824",Diamond Black Crystal Pearl,Pickup Truck
359,2022 Chevrolet Colorado,Chevrolet,2022," 39,161 ","40,727",SUMMIT WHITE,Pickup Truck
360,2016 RAM 2500,RAM,2016," 45,800 ","47,632",Grey,Pickup Truck
361,2022 Toyota Tundra,Toyota,2022," 68,888 ","71,644",Black,Pickup Truck
362,2019 RAM 1500,RAM,2019," 52,990 ","55,110",Black,Pickup Truck
363,2021 RAM 1500,RAM,2021," 46,888 ","48,764",Grey,Pickup Truck
364,2019 RAM 1500,RAM,2019," 44,888 ","46,684",Red,Pickup Truck
365,2022 Chevrolet Silverado 1500,Chevrolet,2022," 56,677 ","58,944",Blue,Pickup Truck
366,2022 GMC Sierra 2500,GMC,2022," 79,947 ","83,145",White,Pickup Truck
367,2022 GMC Sierra 1500,GMC,2022," 57,022 ","59,303",White,Pickup Truck
368,2022 GMC Sierra 2500,GMC,2022," 79,379 ","82,554",White,Pickup Truck
369,2022 Chevrolet Silverado 1500,Chevrolet,2022," 57,319 ","59,612",White,Pickup Truck
370,2019 RAM 1500,RAM,2019," 55,950 ","58,188",White,Pickup Truck
371,2022 Ford F-150,Ford,2022," 97,375 ","101,270",White,Pickup Truck
372,2022 Ford F-150,Ford,2022," 79,535 ","82,716",Black,Pickup Truck
373,2022 Ford Ranger,Ford,2022," 54,300 ","56,472",White,Pickup Truck
374,2022 Ford F-150,Ford,2022," 73,150 ","76,076",Black,Pickup Truck
375,2022 Ford F-150,Ford,2022," 74,560 ","77,542",White,Pickup Truck
376,2017 Mazda CX-5,Mazda,2017," 27,995 ","29,115",Black,Pickup Truck
377,2016 GMC Canyon,GMC,2016," 34,800 ","36,192",Brown,Pickup Truck
378,2022 Honda Ridgeline,Honda,2022," 58,250 ","60,580",Grey,Pickup Truck
379,2022 GMC Sierra 1500,GMC,2022," 68,412 ","71,148",Blue,Pickup Truck
380,2022 GMC Sierra 1500,GMC,2022," 66,982 ","69,661",Black,Pickup Truck
381,2022 Chevrolet Silverado 1500,Chevrolet,2022," 60,602 ","63,026",White,Pickup Truck
382,2022 Chevrolet Silverado 1500,Chevrolet,2022," 59,767 ","62,158",Sport Red,Pickup Truck
383,2019 Ford F-350,Ford,2019," 76,997 ","80,077",,Pickup Truck
384,2022 Chevrolet Silverado 1500,Chevrolet,2022," 68,028 ","70,749",,Pickup Truck
385,2017 Ford F-150,Ford,2017," 49,800 ","51,792",SHADOW BLACK,Pickup Truck
386,2019 GMC Sierra 1500,GMC,2019," 61,495 ","63,955",Grey,Pickup Truck
387,2018 Ford F-150,Ford,2018," 28,900 ","30,056",Black,Pickup Truck
388,1978 Chevrolet Silverado 1500,Chevrolet,1978," 34,995 ","36,395",Brown,Pickup Truck
389,2017 Chevrolet Colorado,Chevrolet,2017," 28,995 ","30,155",White,Pickup Truck
390,2021 Ford F-150,Ford,2021," 56,980 ","59,259",Red,Pickup Truck
391,2019 Ford Ranger,Ford,2019," 33,980 ","35,339",Gray,Pickup Truck
392,2023 Chevrolet Silverado 3500HD,Chevrolet,2023," 105,563 ","109,786",Black,Pickup Truck
393,2017 GMC Sierra 1500,GMC,2017," 40,998 ","42,638",White,Pickup Truck
394,2019 Chevrolet Colorado,Chevrolet,2019," 48,995 ","50,955",Crush,Pickup Truck
395,2022 RAM 2500,RAM,2022," 109,599 ","113,983",Diamond Black Crystal Pearlcoat,Pickup Truck
396,2021 GMC Sierra 1500,GMC,2021," 82,888 ","86,204",Black,Pickup Truck
397,2017 RAM 1500,RAM,2017," 35,995 ","37,435",Black,Pickup Truck
398,2022 Chevrolet Silverado 1500,Chevrolet,2022," 53,643 ","55,789",Black,Pickup Truck
399,2022 Chevrolet Silverado 3500HD,Chevrolet,2022," 100,298 ","104,310",Northsky Blue Metallic,Pickup Truck
400,2022 Ford F-150,Ford,2022," 97,629 ","101,534",Antimatter Blue Metallic,Pickup Truck
401,2022 Ford F-150,Ford,2022," 83,739 ","87,089",Atlas Blue Metallic,Pickup Truck
402,2022 Ford F-150,Ford,2022," 84,539 ","87,921",Iconic Silver Metallic,Pickup Truck
403,2022 Ford F-150,Ford,2022," 83,939 ","87,297",Oxford White,Pickup Truck
404,2022 Ford Ranger,Ford,2022," 47,914 ","49,831",Oxford White,Pickup Truck
